Date,Time,Average,Peak
8/09/2015,8:51:20,51.271248,65.981002
8/09/2015,8:51:20,52.560859,59.183674
8/09/2015,8:51:20,50.50442,50.861905
8/09/2015,8:51:20,51.917946,52.058319
8/09/2015,8:51:20,51.893581,51.92198
8/09/2015,8:51:20,50.987151,58.933915
8/09/2015,8:51:21,44.850383,66.681058
8/09/2015,8:51:21,46.20546,56.885209
8/09/2015,8:51:21,57.83694,59.110649
8/09/2015,8:51:21,46.346915,58.396324
8/09/2015,8:51:21,53.054599,59.523063
8/09/2015,8:51:21,49.229289,52.410184
8/09/2015,8:51:21,47.749057,47.814847
8/09/2015,8:51:21,53.184026,53.74781
8/09/2015,8:51:21,53.761553,53.763133
8/09/2015,8:51:22,48.664791,53.044311
8/09/2015,8:51:22,56.103131,56.107934
8/09/2015,8:51:22,62.785314,62.785314
8/09/2015,8:51:22,52.855429,57.034955
8/09/2015,8:51:22,50.580775,57.01061
8/09/2015,8:51:22,46.327641,49.989153
8/09/2015,8:51:22,47.306356,47.995436
8/09/2015,8:51:22,56.769622,58.586063
8/09/2015,8:51:22,53.789081,53.89274
8/09/2015,8:51:23,57.29211,59.148843
8/09/2015,8:51:23,49.877081,54.374529
8/09/2015,8:51:23,55.927117,56.523807
8/09/2015,8:51:23,54.655573,57.624714
8/09/2015,8:51:23,48.908118,50.533103
8/09/2015,8:51:23,55.006203,57.733466
8/09/2015,8:51:23,53.804139,54.192571
8/09/2015,8:51:23,53.229082,54.240353
8/09/2015,8:51:24,57.820675,60.339136
8/09/2015,8:51:24,55.766842,60.915698
8/09/2015,8:51:24,53.000551,54.882385
8/09/2015,8:51:24,50.661624,54.791153
8/09/2015,8:51:24,60.192058,63.272698
8/09/2015,8:51:24,53.97691,67.042199
8/09/2015,8:51:24,57.000496,57.060017
8/09/2015,8:51:24,60.068122,60.068122
8/09/2015,8:51:24,52.979757,64.58343
8/09/2015,8:51:25,59.727407,59.727407
8/09/2015,8:51:25,59.303802,60.675041
8/09/2015,8:51:25,51.854952,53.580974
8/09/2015,8:51:25,48.899583,49.585857
8/09/2015,8:51:25,58.495386,58.495386
8/09/2015,8:51:25,51.970676,64.759095
8/09/2015,8:51:25,54.934204,56.054335
8/09/2015,8:51:25,61.949518,61.949518
8/09/2015,8:51:25,54.937789,65.694459
8/09/2015,8:51:26,62.250632,62.705124
8/09/2015,8:51:26,59.209373,59.431556
8/09/2015,8:51:26,46.363867,55.253799
8/09/2015,8:51:26,49.13556,49.145809
8/09/2015,8:51:26,61.682129,63.096904
8/09/2015,8:51:26,51.171271,61.278597
8/09/2015,8:51:26,54.931633,55.400711
8/09/2015,8:51:26,54.106645,54.202132
8/09/2015,8:51:26,54.533707,64.590385
8/09/2015,8:51:27,69.886913,70.514549
8/09/2015,8:51:27,59.576159,60.897306
8/09/2015,8:51:27,56.764613,60.46828
8/09/2015,8:51:27,56.759369,58.107332
8/09/2015,8:51:27,53.112857,66.062669
8/09/2015,8:51:27,59.563998,59.563998
8/09/2015,8:51:27,50.278592,57.272869
8/09/2015,8:51:27,57.063507,67.071294
8/09/2015,8:51:27,66.439958,70.603529
8/09/2015,8:51:28,56.704112,58.599465
8/09/2015,8:51:28,54.079279,62.161424
8/09/2015,8:51:28,58.123112,58.123112
