Pest	Species	Lifestage	SLS	Assessed	Temperature	Efnom	Efpc	EF_CT	CO2	Duration	Rep	Unhatched	Live_Hatched	Dead	Moribund	Total	
LBAM	Lightbrown apple moth	5*	LBAM 5*	1	5	2.5	2.06	4.12	18.6	2	1		1	112	1	114	
WAA	Wooly apple aphid	1*	WAA	1	5	Control	0	0	0	2	1		21	37	0	58	
WAA	Wooly apple aphid	2*	WAA	1	5	Control	0	0	0	2	1		26	15	0	41	
WAA	Wooly apple aphid	3*	WAA	1	5	Control	0	0	0	2	1		37	28	0	65	
WAA	Wooly apple aphid	4*	WAA	1	5	Control	0	0	0	2	1		25	5	0	30	
WAA	Wooly apple aphid	Adult	WAA	1	5	Control	0	0	0	2	1		7	0	0	7	
WAA	Wooly apple aphid	1*	WAA	1	5	0	0	0	21.4	2	1		36	30	0	66	
WAA	Wooly apple aphid	2*	WAA	1	5	0	0	0	21.4	2	1		12	25	0	37	
WAA	Wooly apple aphid	3*	WAA	1	5	0	0	0	21.4	2	1		13	9	1	23	
WAA	Wooly apple aphid	4*	WAA	1	5	0	0	0	21.4	2	1		15	8	2	25	
WAA	Wooly apple aphid	Adult	WAA	1	5	0	0	0	21.4	2	1		3	0	0	3	
WAA	Wooly apple aphid	1*	WAA	1	5	0.1	0.17	0.34	1.2	2	1		2	19	0	21	
WAA	Wooly apple aphid	2*	WAA	1	5	0.1	0.17	0.34	1.2	2	1		4	25	0	29	
WAA	Wooly apple aphid	3*	WAA	1	5	0.1	0.17	0.34	1.2	2	1		5	14	1	20	
WAA	Wooly apple aphid	4*	WAA	1	5	0.1	0.17	0.34	1.2	2	1		1	13	1	15	
WAA	Wooly apple aphid	Adult	WAA	1	5	0.1	0.17	0.34	1.2	2	1		0	5	0	5	
WAA	Wooly apple aphid	1*	WAA	1	5	0.2	0.18	0.36	1.62	2	1		0	17	0	17	
WAA	Wooly apple aphid	2*	WAA	1	5	0.2	0.18	0.36	1.62	2	1		0	61	0	61	
WAA	Wooly apple aphid	3*	WAA	1	5	0.2	0.18	0.36	1.62	2	1		0	22	0	22	
WAA	Wooly apple aphid	4*	WAA	1	5	0.2	0.18	0.36	1.62	2	1		0	16	0	16	
WAA	Wooly apple aphid	Adult	WAA	1	5	0.2	0.18	0.36	1.62	2	1		0	7	0	7	
WAA	Wooly apple aphid	1*	WAA	1	5	0.3	0.24	0.48	2.65	2	1		0	11	0	11	
WAA	Wooly apple aphid	2*	WAA	1	5	0.3	0.24	0.48	2.65	2	1		0	16	0	16	
WAA	Wooly apple aphid	3*	WAA	1	5	0.3	0.24	0.48	2.65	2	1		0	17	0	17	
WAA	Wooly apple aphid	4*	WAA	1	5	0.3	0.24	0.48	2.65	2	1		0	22	0	22	
WAA	Wooly apple aphid	Adult	WAA	1	5	0.3	0.24	0.48	2.65	2	1		0	7	0	7	
WAA	Wooly apple aphid	1*	WAA	1	5	0.5	0.38	0.76	3.8	2	1		0	34	0	34	
WAA	Wooly apple aphid	2*	WAA	1	5	0.5	0.38	0.76	3.8	2	1		0	66	0	66	
WAA	Wooly apple aphid	3*	WAA	1	5	0.5	0.38	0.76	3.8	2	1		0	46	0	46	
WAA	Wooly apple aphid	4*	WAA	1	5	0.5	0.38	0.76	3.8	2	1		0	30	0	30	
WAA	Wooly apple aphid	Adult	WAA	1	5	0.5	0.38	0.76	3.8	2	1		0	11	0	11	
TSM	Two spotted mite	Egg	TSM Egg	7	5	Control	0	0	0	2	1	1	17			18	
TSM	Two spotted mite	Egg	TSM Egg	7	5	0	0	0	21.4	2	1	1	9			10	
TSM	Two spotted mite	Egg	TSM Egg	7	5	1	0.73	1.46	6.8	2	1	6	5			11	
TSM	Two spotted mite	Egg	TSM Egg	7	5	1.5	1.36	2.72	12	2	1	84	2			86	
TSM	Two spotted mite	Egg	TSM Egg	7	5	2	1.79	3.58	15.4	2	1	198	0			198	
TSM	Two spotted mite	Egg	TSM Egg	7	5	2.5	2.06	4.12	18.6	2	1	88	0			88	
OS	Oleander scale	1*	OS	7	5	Control	0	0	0	2	1		83	24	0	107	
OS	Oleander scale	1*	OS	7	5	0	0	0	21.4	2	1		53	77	1	131	
OS	Oleander scale	1*	OS	7	5	0.1	0.17	0.34	1.2	2	1		41	73	0	114	
OS	Oleander scale	1*	OS	7	5	0.2	0.18	0.36	1.62	2	1		0	104	1	105	
OS	Oleander scale	2*	OS	7	5	0.2	0.18	0.36	1.62	2	1		0	86	2	88	
OS	Oleander scale	1*	OS	7	5	0.3	0.24	0.48	2.65	2	1		0	100	0	100	
OS	Oleander scale	1*	OS	7	5	0.5	0.38	0.76	3.8	2	1		0	100	0	100	
LBAM	Lightbrown apple moth	mid egg	LBAM ME	9	5	Control	0	0	0	2	1	25	79			104	
LBAM	Lightbrown apple moth	mid egg	LBAM ME	9	5	0	0	0	21.4	2	1	2	155			157	
LBAM	Lightbrown apple moth	mid egg	LBAM ME	9	5	0.5	0.38	0.76	3.8	2	1	15	88			103	
LBAM	Lightbrown apple moth	mid egg	LBAM ME	9	5	1	0.73	1.46	6.8	2	1	36	71			107	
LBAM	Lightbrown apple moth	mid egg	LBAM ME	9	5	1.5	1.36	2.72	12	2	1	63	147			210	
LBAM	Lightbrown apple moth	mid egg	LBAM ME	9	5	2	1.79	3.58	15.4	2	1	11	108			119	
LBAM	Lightbrown apple moth	mid egg	LBAM ME	9	5	2.5	2.06	4.12	18.6	2	1	147	21			168	
LBAM	Lightbrown apple moth	5*	LBAM 5*	1	5	Control	0	0	0	2	2		106	0	0	106	
LBAM	Lightbrown apple moth	5*	LBAM 5*	1	5	0	0	0	19.4	2	2		94	0	0	94	
LBAM	Lightbrown apple moth	5*	LBAM 5*	1	5	0.5	0.5	1	4.95	2	2		12	82	3	97	
LBAM	Lightbrown apple moth	5*	LBAM 5*	1	5	1	0.98	1.96	9.1	2	2		4	104	1	109	
LBAM	Lightbrown apple moth	5*	LBAM 5*	1	5	1.5	1.38	2.76	12.2	2	2		12	82	2	96	
LBAM	Lightbrown apple moth	5*	LBAM 5*	1	5	2	1.88	3.76	17	2	2		10	94	1	105	
LBAM	Lightbrown apple moth	5*	LBAM 5*	1	5	2.5	2.2	4.4	20.6	2	2		8	100	1	109	
WAA	Wooly apple aphid	1*	WAA	1	5	Control	0	0	0	2	2		33	13	0	46	
WAA	Wooly apple aphid	2*	WAA	1	5	Control	0	0	0	2	2		23	14	0	37	
WAA	Wooly apple aphid	3*	WAA	1	5	Control	0	0	0	2	2		6	13	2	21	
WAA	Wooly apple aphid	4*	WAA	1	5	Control	0	0	0	2	2		22	4	1	27	
WAA	Wooly apple aphid	Adult	WAA	1	5	Control	0	0	0	2	2		3	14	0	17	
WAA	Wooly apple aphid	1*	WAA	1	5	0	0	0	19.4	2	2		24	18	0	42	
WAA	Wooly apple aphid	2*	WAA	1	5	0	0	0	19.4	2	2		17	15	0	32	
WAA	Wooly apple aphid	3*	WAA	1	5	0	0	0	19.4	2	2		4	9	0	13	
WAA	Wooly apple aphid	4*	WAA	1	5	0	0	0	19.4	2	2		4	7	0	11	
WAA	Wooly apple aphid	Adult	WAA	1	5	0	0	0	19.4	2	2		1	0	0	1	
WAA	Wooly apple aphid	1*	WAA	1	5	0.1	0.13	0.26	0.86	2	2		0	18	0	18	
WAA	Wooly apple aphid	2*	WAA	1	5	0.1	0.13	0.26	0.86	2	2		0	29	0	29	
WAA	Wooly apple aphid	3*	WAA	1	5	0.1	0.13	0.26	0.86	2	2		2	25	1	28	
WAA	Wooly apple aphid	4*	WAA	1	5	0.1	0.13	0.26	0.86	2	2		0	16	0	16	
WAA	Wooly apple aphid	Adult	WAA	1	5	0.1	0.13	0.26	0.86	2	2		0	5	0	5	
WAA	Wooly apple aphid	1*	WAA	1	5	0.2	0.18	0.36	1.48	2	2		0	69	0	69	
WAA	Wooly apple aphid	2*	WAA	1	5	0.2	0.18	0.36	1.48	2	2		0	121	0	121	
WAA	Wooly apple aphid	3*	WAA	1	5	0.2	0.18	0.36	1.48	2	2		0	77	0	77	
WAA	Wooly apple aphid	4*	WAA	1	5	0.2	0.18	0.36	1.48	2	2		0	80	0	80	
WAA	Wooly apple aphid	Adult	WAA	1	5	0.2	0.18	0.36	1.48	2	2		0	33	0	33	
WAA	Wooly apple aphid	1*	WAA	1	5	0.3	0.31	0.62	3.2	2	2		0	56	0	56	
WAA	Wooly apple aphid	2*	WAA	1	5	0.3	0.31	0.62	3.2	2	2		0	82	0	82	
WAA	Wooly apple aphid	3*	WAA	1	5	0.3	0.31	0.62	3.2	2	2		0	92	1	93	
WAA	Wooly apple aphid	4*	WAA	1	5	0.3	0.31	0.62	3.2	2	2		0	50	0	50	
WAA	Wooly apple aphid	Adult	WAA	1	5	0.3	0.31	0.62	3.2	2	2		0	11	0	11	
WAA	Wooly apple aphid	1*	WAA	1	5	0.5	0.5	1	4.95	2	2		0	19	0	19	
WAA	Wooly apple aphid	2*	WAA	1	5	0.5	0.5	1	4.95	2	2		0	26	0	26	
WAA	Wooly apple aphid	3*	WAA	1	5	0.5	0.5	1	4.95	2	2		0	13	0	13	
WAA	Wooly apple aphid	4*	WAA	1	5	0.5	0.5	1	4.95	2	2		0	11	0	11	
WAA	Wooly apple aphid	Adult	WAA	1	5	0.5	0.5	1	4.95	2	2		0	5	0	5	
TSM	Two spotted mite	Egg	TSM Egg	7	5	Control	0	0	0	2	2	20	235			255	
TSM	Two spotted mite	Egg	TSM Egg	7	5	0	0	0	19.4	2	2	10	18			28	
TSM	Two spotted mite	Egg	TSM Egg	7	5	1	0.98	1.96	9.1	2	2	15	2			17	
TSM	Two spotted mite	Egg	TSM Egg	7	5	1.5	1.38	2.76	12.2	2	2	39	2			41	
TSM	Two spotted mite	Egg	TSM Egg	7	5	2	1.88	3.76	17	2	2	12	0			12	
TSM	Two spotted mite	Egg	TSM Egg	7	5	2.5	2.2	4.4	20.6	2	2	55	0			55	
OS	Oleander scale	1*	OS	7	5	Control	0	0	0	2	2		105	2	0	107	
OS	Oleander scale	1*	OS	7	5	0	0	0	19.4	2	2		13	93	0	106	
OS	Oleander scale	1*	OS	7	5	0.1	0.13	0.26	0.86	2	2		6	104	0	110	
OS	Oleander scale	2*	OS	7	5	0.1	0.13	0.26	0.86	2	2		0	0	0	0	
OS	Oleander scale	1*	OS	7	5	0.2	0.18	0.36	1.48	2	2		0	100	0	100	
OS	Oleander scale	2*	OS	7	5	0.2	0.18	0.36	1.48	2	2		0	22	1	23	
OS	Oleander scale	1*	OS	7	5	0.3	0.31	0.62	3.2	2	2		0	102	0	102	
OS	Oleander scale	1*	OS	7	5	0.5	0.5	1	4.95	2	2		0	107	0	107	
LBAM	Lightbrown apple moth	mid egg	LBAM ME	9	5	Control	0	0	0	2	2	26	150			176	
LBAM	Lightbrown apple moth	mid egg	LBAM ME	9	5	0	0	0	19.4	2	2	7	129			136	
LBAM	Lightbrown apple moth	mid egg	LBAM ME	9	5	0.5	0.5	1	4.95	2	2	29	160			189	
